Species	Kingdom	Class	Size (Mb)	GC%	Number of genes	Number of proteins	Publication year	Assembly status
Lateolabrax maculatus	Animals	Fishes	519.239	41.0772	-	-	2019	Chromosome
Foeniculum vulgare	Plants	Land Plants	1010.97	32.2	-	-	2018	Scaffold
Ditylenchus destructor	Animals	Roundworms	111.138	36.1	-	-	2016	Scaffold
Phaffia rhodozyma	Fungi	Basidiomycetes	18.7577	47.2	-	-	2016	Scaffold
Phoebis sennae	Animals	Insects	287.49	31.8	-	-	2016	Scaffold
Sphaeroforma sirkka	Protists	Other Protists	125.635	40.2034	-	-	2016	Contig
Xeromyces bisporus	Fungi	Ascomycetes	22.0328	49.5359	-	-	2014	Scaffold
Cryptosporidium baileyi	Protists	Apicomplexans	8.49364	24.2	-	-	2016	Contig
Miniopterus natalensis	Animals	Mammals	1803.1	42.4	22891	29787	2016	Scaffold
Peltaster fructicola	Fungi	Ascomycetes	19.0249	51.9	-	-	2016	Scaffold
Atta colombica	Animals	Insects	291.258	32.9	11134	16933	2016	Scaffold
Cyphomyrmex costatus	Animals	Insects	300.317	35.3	12418	15690	2016	Scaffold
Trachymyrmex cornetzi	Animals	Insects	369.4380000000001	36	13700	21290	2016	Scaffold
Trachymyrmex septentrionalis	Animals	Insects	291.747	34.7	12000	20394	2016	Scaffold
Monotropa hypopitys	Plants	Land Plants	2197.49	41.2	-	-	2018	Contig
Panicum miliaceum	Plants	Land Plants	848.352	46.8382	-	-	2018	Chromosome
Nannopterum brasilianus	Animals	Birds	1346.19	42.2	-	-	2017	Scaffold
Cairneyella variabilis	Fungi	Ascomycetes	50.6936	47.6	-	-	2016	Contig
Apiotrichum montevideense	Fungi	Basidiomycetes	24.8722	58.2	-	-	2016	Scaffold
Apiotrichum domesticum	Fungi	Basidiomycetes	24.5109	58.5	-	-	2016	Scaffold
Ambrosiozyma kashinagicola	Fungi	Ascomycetes	12.321	36.1	-	-	2016	Scaffold
Hyphopichia homilentoma	Fungi	Ascomycetes	12.1768	49.4	-	-	2016	Scaffold
Candida sorboxylosa	Fungi	Ascomycetes	10.7149	38.2	-	-	2016	Scaffold
Lotharella oceanica	Protists	Other Protists	0.683589	32.79	748	668	2014	Chromosome
[Candida] intermedia	Fungi	Ascomycetes	13.1621	43.5298	5936	5931	2016	Chromosome
Wickerhamia fluorescens	Fungi	Ascomycetes	13.1785	37.3	-	-	2016	Scaffold
Pestalotiopsis sp. JCM 9685	Fungi	Ascomycetes	48.23	51.6	-	-	2016	Scaffold
Cyberlindnera fabianii	Fungi	Ascomycetes	12.3038	44.2	-	-	2016	Scaffold
Saccharomycopsis malanga	Fungi	Ascomycetes	16.9524	37.9312	-	-	2019	Complete Genome
[Candida] carpophila	Fungi	Ascomycetes	10.2429	47.4	-	-	2016	Scaffold
[Candida] succiphila	Fungi	Ascomycetes	12.1499	40.9	-	-	2016	Scaffold
Wickerhamiella domercqiae	Fungi	Ascomycetes	8.47081	48.4	-	-	2016	Scaffold
Sporopachydermia quercuum	Fungi	Ascomycetes	16.4115	36.2	-	-	2016	Scaffold
Nakazawaea peltata	Fungi	Ascomycetes	11.6538	40.5	-	-	2016	Scaffold
Phoma herbarum	Fungi	Ascomycetes	39.2636	51.7	-	-	2016	Scaffold
Scheffersomyces lignosus	Fungi	Ascomycetes	16.5925	41.2	-	-	2016	Scaffold
Aspergillus awamori	Fungi	Ascomycetes	38.5978	49.3	11633	11224	2018	Contig
Chalaropsis thielavioides	Fungi	Ascomycetes	23.333	52.1	-	-	2016	Scaffold
Memnoniella echinata	Fungi	Ascomycetes	43.682	49.8	-	-	2016	Scaffold
Beverwykella pulmonaria	Fungi	Ascomycetes	45.9662	48.2	-	-	2016	Scaffold
Actinomucor elegans	Fungi	Other Fungi	34.1712	35.9	-	-	2016	Scaffold
Golubevia pallescens	Fungi	Basidiomycetes	27.7563	43.2	-	-	2016	Scaffold
Basipetospora chlamydospora	Fungi	Ascomycetes	33.4899	55.7	-	-	2016	Scaffold
Phaeotremella skinneri	Fungi	Basidiomycetes	20.7883	50.2	-	-	2016	Scaffold
Phaeotremella fagi	Fungi	Basidiomycetes	22.6499	42.4	-	-	2016	Scaffold
Gliomastix tumulicola	Fungi	Ascomycetes	42.3854	54.8	-	-	2016	Scaffold
Exophiala alcalophila	Fungi	Ascomycetes	29.8536	54.1	-	-	2016	Scaffold
Exophiala calicioides	Fungi	Ascomycetes	36.3667	52.8	-	-	2016	Scaffold
Acremonium furcatum	Fungi	Ascomycetes	40.3207	57.7	-	-	2016	Scaffold
Thermoascus crustaceus	Fungi	Ascomycetes	31.6443	49.2	-	-	2016	Scaffold
Aspergillus chevalieri	Fungi	Ascomycetes	28.0052	48	-	-	2016	Scaffold
Priceomyces haplophilus	Fungi	Ascomycetes	10.5171	41	-	-	2016	Scaffold
Symbiotaphrina buchneri	Fungi	Ascomycetes	23.7121	51.6	-	-	2016	Scaffold
Holtermannia corniformis	Fungi	Basidiomycetes	20.7218	55.2	-	-	2016	Scaffold
Cystobasidium pallidum	Fungi	Basidiomycetes	21.7214	49.7	-	-	2016	Scaffold
Cystobasidiopsis lactophilus	Fungi	Basidiomycetes	22.1806	56.2	-	-	2016	Scaffold
Ambrosiozyma monospora	Fungi	Ascomycetes	24.9784	37.2	-	-	2016	Scaffold
Solicoccozyma phenolicus	Fungi	Basidiomycetes	22.2635	54.9	-	-	2016	Scaffold
Holtermanniella nyarrowii	Fungi	Basidiomycetes	17.7354	52.7	-	-	2016	Scaffold
Filobasidium wieringae	Fungi	Basidiomycetes	19.7813	49.9	-	-	2016	Scaffold
Yarrowia deformans	Fungi	Ascomycetes	21.1188	49.5	-	-	2018	Scaffold
Bullera alba	Fungi	Basidiomycetes	19.4173	54.3	-	-	2016	Scaffold
Erythrobasidium yunnanense	Fungi	Basidiomycetes	20.9305	51	-	-	2016	Scaffold
Yarrowia keelungensis	Fungi	Ascomycetes	21.8244	48	-	-	2016	Scaffold
Vanrija humicola	Fungi	Basidiomycetes	22.6538	62.7	-	-	2016	Scaffold
Apiotrichum porosum	Fungi	Basidiomycetes	25.9893	59	-	-	2016	Scaffold
Pilasporangium apinafurcum	Protists	Other Protists	37.4447	43.9	-	-	2016	Scaffold
Yarrowia sp. JCM 30694	Fungi	Ascomycetes	21.7583	46	-	-	2016	Scaffold
Yarrowia sp. JCM 30696	Fungi	Ascomycetes	21.7505	47.9	-	-	2016	Scaffold
Albophoma yamanashiensis	Fungi	Ascomycetes	31.3906	56.7	-	-	2016	Scaffold
Didymobotryum rigidum	Fungi	Ascomycetes	41.7297	54.7	-	-	2016	Scaffold
Apiotrichum veenhuisii	Fungi	Basidiomycetes	31.6177	59.6	-	-	2016	Scaffold
Dioszegia crocea	Fungi	Basidiomycetes	20.5953	53.2	-	-	2016	Scaffold
Leucosporidium creatinivorum	Fungi	Basidiomycetes	27.9692	58.7	-	-	2016	Scaffold
Apiotrichum brassicae	Fungi	Basidiomycetes	23.6477	56.5	-	-	2016	Scaffold
Apiotrichum gamsii	Fungi	Basidiomycetes	24.6094	61.1	-	-	2016	Scaffold
Apiotrichum gracile	Fungi	Basidiomycetes	24.1149	59.2	-	-	2016	Scaffold
Meira nashicola	Fungi	Basidiomycetes	18.0157	40	-	-	2016	Scaffold
Wickerhamiella versatilis	Fungi	Ascomycetes	9.31303	44.8	-	-	2016	Scaffold
Dioszegia aurantiaca	Fungi	Basidiomycetes	19.3441	53.6	-	-	2016	Scaffold
Millerozyma acaciae	Fungi	Ascomycetes	11.0659	41.4	-	-	2016	Scaffold
Ascoidea asiatica	Fungi	Ascomycetes	20.3137	24.8	-	-	2016	Scaffold
Cutaneotrichosporon guehoae	Fungi	Basidiomycetes	33.6989	59.2	-	-	2016	Scaffold
Endocalyx cinctus	Fungi	Ascomycetes	44.7739	45.4	-	-	2016	Scaffold
Cutaneotrichosporon cutaneum	Fungi	Basidiomycetes	30.7172	57.5	-	-	2016	Scaffold
Apiotrichum laibachii	Fungi	Basidiomycetes	30.6166	59.6	-	-	2016	Scaffold
Ogataea methanolica	Fungi	Ascomycetes	15.0864	36.2	-	-	2016	Scaffold
Alloascoidea hylecoeti	Fungi	Ascomycetes	24.8157	31.1	-	-	2016	Scaffold
Cryptococcus sp. JCM 24511	Fungi	Basidiomycetes	28.1809	58.5	-	-	2016	Scaffold
Solicoccozyma terricola	Fungi	Basidiomycetes	24.1179	49.4	-	-	2016	Scaffold
Phyllosticta capitalensis	Fungi	Ascomycetes	32.4544	54.6	-	-	2016	Contig
Lepidothrix coronata	Animals	Birds	1079.58	41.9	18695	36671	2016	Scaffold
Maconellicoccus hirsutus	Animals	Insects	189.239	35.2	-	-	2018	Contig
Trionymus perrisii	Animals	Insects	237.583	31.5	-	-	2016	Scaffold
Zoysia japonica	Plants	Land Plants	334.384	42.6	-	-	2016	Scaffold
Zoysia matrella	Plants	Land Plants	563.439	43.3	-	-	2016	Scaffold
Zoysia pacifica	Plants	Land Plants	397.01	43.2	-	-	2016	Scaffold
Yarrowia sp. JCM 30695	Fungi	Ascomycetes	21.9003	47.8	-	-	2016	Scaffold
Ferrisia virgata	Animals	Insects	304.571	34.2	-	-	2016	Scaffold
Paracoccus marginatus	Animals	Insects	191.208	36.1	-	-	2016	Scaffold
Pseudococcus longispinus	Animals	Insects	284.99	33.7	-	-	2016	Scaffold
Aspergillus luchuensis CBS 106.47	Fungi	Ascomycetes	37.453	49.1	13784	13503	2016	Scaffold
Trachymyrmex zeteki	Animals	Insects	267.973	34.9	11995	18778	2016	Scaffold
Hypsizygus marmoreus	Fungi	Basidiomycetes	32.2384	49.4	-	-	2017	Scaffold
Sarocladium oryzae	Fungi	Ascomycetes	32.4034	53.1	-	-	2016	Scaffold
Tieghemostelium lacteum	Protists	Other Protists	23.3757	29.8	10282	10225	2016	Contig
Cebus capucinus imitator	Animals	Mammals	2717.7	41	36855	52989	2016	Scaffold
Micromonas commoda	Plants	Green Algae	21.1093	63.8223	10125	10137	2009	Complete Genome
Mycena chlorophos	Fungi	Basidiomycetes	43.602	55.3	17292	18991	2016	Contig
Colletotrichum tofieldiae	Fungi	Ascomycetes	52.7196	52.9	-	-	2016	Scaffold
Drechmeria coniospora	Fungi	Ascomycetes	32.831	54.9069	8428	8236	2016	Chromosome
Puccinia horiana	Fungi	Basidiomycetes	66.4031	43.2	-	-	2016	Contig
Calycopis cecrops	Animals	Insects	728.789	35.1	-	-	2016	Scaffold
Trichophyton interdigitale MR816	Fungi	Ascomycetes	22.4696	48	8083	8282	2014	Contig
Colletotrichum incanum	Fungi	Ascomycetes	53.2546	52.1	12000	11852	2016	Scaffold
Ascochyta rabiei	Fungi	Ascomycetes	40.9174	49.2	-	-	2019	Contig
Haemoproteus tartakovskyi	Protists	Apicomplexans	23.209	24.9018	-	-	2016	Scaffold
Sporothrix globosa	Fungi	Ascomycetes	33.4736	54.4	-	-	2016	Scaffold
Wickerhamiella infanticola	Fungi	Ascomycetes	9.01286	47.6	-	-	2019	Contig
Pseudogymnoascus sp. BL549	Fungi	Ascomycetes	25.8642	51.1	-	-	2016	Scaffold
Fibularhizoctonia sp. CBS 109695	Fungi	Basidiomycetes	95.1181	51.5	33036	32854	2016	Scaffold
Coelastrella sp. M60	Plants	Green Algae	80.2218	51.8	-	-	2016	Contig
Ophiocordyceps polyrhachis-furcata BCC 54312	Fungi	Ascomycetes	43.2528	43.3	8988	10146	2016	Scaffold
Calocera cornea HHB12733	Fungi	Basidiomycetes	33.2449	56.9	13213	13154	2016	Scaffold
Quercus lobata	Plants	Land Plants	1277.01	35.3545	-	-	2016	Chromosome
Dichanthelium oligosanthes	Plants	Land Plants	589.1659999999998	47.5	26468	26468	2016	Scaffold
Urochloa ruziziensis	Plants	Land Plants	732.5310000000002	40.8	-	-	2018	Scaffold
Metarhizium rileyi RCEF 4871	Fungi	Ascomycetes	32.014	49.3	8764	8764	2016	Scaffold
Globodera rostochiensis	Animals	Roundworms	95.8763	36.4	-	-	2016	Scaffold
Peniophora sp. CONT	Fungi	Basidiomycetes	46.0308	54.2	19182	18945	2016	Scaffold
Sugiyamaella lignohabitans	Fungi	Ascomycetes	15.9383	44.877	5388	5135	2016	Complete Genome
Endoconidiophora laricicola	Fungi	Ascomycetes	32.6923	45.4	-	-	2016	Scaffold
Ceratocystis adiposa	Fungi	Ascomycetes	28.3392	47	-	-	2016	Scaffold
Eufriesea mexicana	Animals	Insects	596.278	41.2	11053	15659	2015	Scaffold
Intoshia linei	Animals	Other Animals	41.6031	25.9	8724	8724	2016	Scaffold
Paraphaeosphaeria sporulosa	Fungi	Ascomycetes	38.464	53.3	14844	14734	2016	Scaffold
Mentha longifolia	Plants	Land Plants	353.287	36.7	-	-	2016	Scaffold
Nematocida displodere	Fungi	Other Fungi	3.0664	49.1	2278	2278	2016	Scaffold
Nematocida sp. ERTm5	Fungi	Other Fungi	4.39761	33.5	2709	2709	2016	Scaffold
Fonsecaea monophora	Fungi	Ascomycetes	35.2298	52.2	11999	11984	2016	Contig
Monocercomonoides sp. PA203	Protists	Other Protists	74.7219	36.8	-	-	2016	Scaffold
Caenorhabditis nigoni	Animals	Roundworms	129.489	37.7345	29167	44605	2017	Chromosome
Tilletia caries	Fungi	Basidiomycetes	29.5409	56.1	10204	10204	2016	Scaffold
Stagonospora sp. SRC1lsM3a	Fungi	Ascomycetes	36.0829	51.8	14518	14425	2016	Scaffold
Tilletia controversa	Fungi	Basidiomycetes	28.8411	56.6	9860	9860	2016	Scaffold
Pyrenochaeta sp. DS3sAY3a	Fungi	Ascomycetes	38.501	51.1	15074	14990	2016	Scaffold
Eichhornia paniculata	Plants	Land Plants	571.388	33.2	-	-	2016	Scaffold
Fonsecaea nubica	Fungi	Ascomycetes	33.7874	52.5	11696	11681	2016	Scaffold
Penicillium polonicum	Fungi	Ascomycetes	33.9201	46.7	-	-	2018	Scaffold
Protobothrops flavoviridis	Animals	Reptiles	1413.2	38.2	-	-	2018	Scaffold
Musa itinerans	Plants	Land Plants	455.349	35.4	-	-	2016	Scaffold
Gongronella sp. w5	Fungi	Other Fungi	34.7235	48.2	-	-	2016	Scaffold
Trichophyton violaceum	Fungi	Ascomycetes	23.3671	47	7037	7037	2016	Scaffold
Fonsecaea erecta	Fungi	Ascomycetes	34.748000000000005	53.1	12099	12090	2016	Scaffold
Ceratina calcarata	Animals	Insects	199.937	41.8	12087	23278	2016	Scaffold
Cryptococcus sp. 05/00	Fungi	Basidiomycetes	23.8012	53.1	-	-	2016	Contig
Cadophora malorum	Fungi	Ascomycetes	47.8	48.3	-	-	2016	Contig
Prorocentrum minimum	Protists	Other Protists	29.349	-	-	-	2016	Contig
Pseudogymnoascus sp. 04NY16	Fungi	Ascomycetes	31.3143	49.8782	-	-	2016	Scaffold
Pseudogymnoascus sp. BL308	Fungi	Ascomycetes	31.419	50.4776	-	-	2016	Scaffold
Uroleptopsis citrina	Protists	Other Protists	32.3472	-	-	-	2016	Contig
Drosophila arizonae	Animals	Insects	141.387	40.8	13287	19500	2016	Scaffold
Drosophila navojoa	Animals	Insects	115.886	40.3	11332	15855	2016	Scaffold
Ustilago trichophora	Fungi	Basidiomycetes	20.6911	53	-	-	2016	Scaffold
Fusarium agapanthi	Fungi	Ascomycetes	41.9551	48.1	-	-	2016	Scaffold
Phylloscopus plumbeitarsus	Animals	Birds	997.399	41.5	-	-	2016	Scaffold
Eukaryota sp. EH-2015	Protists	Other Protists	48.9968	39.1	-	-	2016	Scaffold
Spathaspora gorwiae	Fungi	Ascomycetes	14.8894	35.2	-	-	2016	Scaffold
Spathaspora hagerdaliae	Fungi	Ascomycetes	16.6141	35	-	-	2016	Scaffold
Spathaspora girioi	Fungi	Ascomycetes	14.8095	35	-	-	2016	Scaffold
Talaromyces piceae	Fungi	Ascomycetes	26.5643	49.2	-	-	2016	Scaffold
Cryptococcus gattii VGII 2001/935-1	Fungi	Basidiomycetes	17.5667	47.9	6645	6495	2015	Scaffold
Cryptococcus gattii WM276	Fungi	Basidiomycetes	18.3748	47.8782	6576	6561	2011	Chromosome
Diplonema papillatum	Protists	Other Protists	107.915	-	-	-	2016	Contig
Phylloscopus trochiloides viridanus	Animals	Birds	1003.33	41.4	-	-	2016	Scaffold
Cryptococcus gattii VGII R265	Fungi	Basidiomycetes	17.4758	47.8	6637	6472	2005	Scaffold
Cryptococcus gattii VGIV IND107	Fungi	Basidiomycetes	17.6494	48	6843	6696	2015	Scaffold
Dacryopinax primogenitus	Fungi	Basidiomycetes	29.5035	52	10301	10240	2012	Scaffold
Emmonsia sp. CAC-2015a	Fungi	Ascomycetes	29.7089	43.4	8857	8769	2016	Scaffold
Leptoxyphium fumago	Fungi	Ascomycetes	25.0229	51.4	-	-	2016	Contig
Capniomyces stellatus	Fungi	Other Fungi	24.8459	37.3	-	-	2016	Scaffold
Metrosideros polymorpha var. glaberrima	Plants	Land Plants	304.366	38.2	-	-	2016	Scaffold
Chlamydomonas applanata	Plants	Green Algae	78.5042	56.3	-	-	2016	Scaffold
Chlamydomonas asymmetrica	Plants	Green Algae	141.916	55.1	-	-	2016	Scaffold
Chlamydomonas debaryana	Plants	Green Algae	120.364	62.3	-	-	2016	Scaffold
Chlamydomonas sphaeroides	Plants	Green Algae	122.189	65.9	-	-	2016	Scaffold
Raffaelea quercivora	Fungi	Ascomycetes	26.4112	57	-	-	2017	Contig
Rosa x damascena	Plants	Land Plants	711.72	37.6	-	-	2016	Scaffold
Colletotrichum godetiae	Fungi	Ascomycetes	35.0343	50.6	-	-	2016	Scaffold
Cimex hemipterus	Animals	Insects	2.66463	35.2	-	-	2016	Contig
Ilyonectria destructans	Fungi	Ascomycetes	60.4037	51.8	-	-	2016	Scaffold
Absidia glauca	Fungi	Other Fungi	48.7464	44.5	15117	14891	2016	Scaffold
Plasmodium ovale	Protists	Apicomplexans	33.5296	29.3619	6986	6228	2016	Chromosome
Plasmodium malariae	Protists	Apicomplexans	33.618	24.3948	6690	5930	2016	Chromosome
Fusarium poae	Fungi	Ascomycetes	46.4768	46.2	14816	14740	2016	Scaffold
Pseudogymnoascus sp. WSF 3629	Fungi	Ascomycetes	35.5171	48.9	11188	11033	2016	Scaffold
Pseudogymnoascus sp. 24MN13	Fungi	Ascomycetes	30.1795	50.3	10363	10269	2016	Scaffold
Pseudogymnoascus sp. 23342-1-I1	Fungi	Ascomycetes	32.9003	50	10914	10762	2016	Scaffold
Pseudogymnoascus sp. 05NY08	Fungi	Ascomycetes	32.2063	49.8	10662	10514	2016	Scaffold
Pseudogymnoascus sp. 03VT05	Fungi	Ascomycetes	33.2926	49.2	10392	10252	2016	Scaffold
Pseudogymnoascus verrucosus	Fungi	Ascomycetes	30.1749	50.4	10715	10573	2016	Scaffold
Amphinemura sulcicollis	Animals	Insects	271.925	41.8	-	-	2016	Contig
Baetis rhodani	Animals	Insects	174.11700000000005	40.2	-	-	2016	Contig
Isoperla grammatica	Animals	Insects	509.523	40.1	-	-	2016	Contig
Ceratocystiopsis minuta	Fungi	Ascomycetes	21.2993	61.7	-	-	2016	Scaffold
Gracilariopsis chorda	Other	Other	92.18	49.3	10907	10806	2018	Contig
Carlito syrichta	Animals	Mammals	3453.86	41	25660	33081	2013	Scaffold
Ophiocordyceps bispora	Fungi	Ascomycetes	6.359380000000002	58.4	-	-	2016	Contig
Ustilago cynodontis	Fungi	Basidiomycetes	22.5723	52.4	-	-	2016	Contig
Choanephora cucurbitarum	Fungi	Other Fungi	29.0969	37.4	11977	11977	2016	Scaffold
Pseudocercospora fijiensis CIRAD86	Fungi	Ascomycetes	74.1412	45.2	13131	13066	2013	Scaffold
Liriodendron chinense	Plants	Land Plants	1742.42	41.5	-	-	2018	Scaffold
Capsicum chinense	Plants	Land Plants	3070.91	34.8646	34974	34974	2017	Chromosome
Fusarium cuneirostrum	Fungi	Ascomycetes	49.0078	-	-	-	2016	Contig
Fusarium phaseoli	Fungi	Ascomycetes	50.5344	-	-	-	2016	Contig
Fusarium tucumaniae	Fungi	Ascomycetes	48.3836	-	-	-	2016	Contig
Armillaria fuscipes	Fungi	Basidiomycetes	52.9843	-	-	-	2016	Scaffold
Fusarium azukicola	Fungi	Ascomycetes	51.308	-	-	-	2016	Contig
Fusarium brasiliense	Fungi	Ascomycetes	49.3828	50.1	-	-	2016	Contig
Grifola frondosa	Fungi	Basidiomycetes	39.2893	50	15039	15039	2016	Contig
Ellobius talpinus	Animals	Mammals	2265.97	41.3	-	-	2016	Scaffold
Ellobius lutescens	Animals	Mammals	2353.19	39.9	-	-	2016	Scaffold
Rhagoletis zephyria	Animals	Insects	1113.96	37.3	28028	34587	2016	Scaffold
Halocafeteria seosinensis	Protists	Other Protists	44.6208	-	-	-	2016	Contig
Chenopodium suecicum	Plants	Land Plants	536.9490000000002	33.3	-	-	2016	Scaffold
Chenopodium pallidicaule	Plants	Land Plants	337.011	35.7	-	-	2016	Scaffold
Trabutina mannipara	Animals	Insects	172.236	33.1	-	-	2016	Contig
Glonium stellatum	Fungi	Ascomycetes	40.5216	48.2	14344	14277	2016	Scaffold
Calonectria pseudonaviculata	Fungi	Ascomycetes	51.43899999999999	47.8	-	-	2016	Scaffold
Obba rivulosa	Fungi	Basidiomycetes	34.0376	53.6	13374	13198	2016	Scaffold
Amanita inopinata Kibby_2008	Fungi	Basidiomycetes	20.1033	48.1	-	-	2016	Scaffold
Amanita polypyramis BW_CC	Fungi	Basidiomycetes	19.6707	47.7	-	-	2016	Scaffold
Amanita brunnescens Koide BX004	Fungi	Basidiomycetes	36.0256	-	-	-	2016	Scaffold
Aspergillus hancockii	Fungi	Ascomycetes	39.9038	47.7	-	-	2016	Contig
Diaporthe helianthi	Fungi	Ascomycetes	63.672	43.9	13139	13139	2016	Scaffold
Hydroides elegans	Animals	Other Animals	1026.05	34.6	-	-	2016	Scaffold
Pleurotus eryngii	Fungi	Basidiomycetes	49.9178	49.4	-	-	2018	Contig
Aspergillus cristatus	Fungi	Ascomycetes	27.779	49.8393	-	-	2016	Contig
Fusarium meridionale	Fungi	Ascomycetes	36.3998	48.3	-	-	2016	Scaffold
Trichoderma pleuroti	Fungi	Ascomycetes	38.1377	49.6	-	-	2016	Contig
Globodera ellingtonae	Animals	Roundworms	105.965	36.4	-	-	2016	Scaffold
Rhizaria sp. SCN 62-66	Protists	Other Protists	34.9165	61.9	-	-	2016	Scaffold
Fonticula-like sp. SCN 57-25	Protists	Other Protists	9.51461	56.7	-	-	2016	Scaffold
Malaclemys terrapin terrapin	Animals	Reptiles	2439.75	44.5	13	13	2016	Contig
Perilla citriodora	Plants	Land Plants	618.797	34.9	-	-	2019	Scaffold
Ustilago vetiveriae	Fungi	Basidiomycetes	19.6065	-	-	-	2016	Contig
Ustilago xerochloae	Fungi	Basidiomycetes	24.2307	-	-	-	2016	Contig
Pseudozyma tsukubaensis	Fungi	Basidiomycetes	23.7697	-	-	-	2016	Contig
Sporisorium iseilematis-ciliati	Fungi	Basidiomycetes	23.2071	-	-	-	2016	Contig
Pleurotus salmoneostramineus	Fungi	Basidiomycetes	39.1932	50	-	-	2017	Scaffold
Cladosiphon okamuranus	Other	Other	169.731	54.4	-	-	2016	Scaffold
Setophaga coronata coronata	Animals	Birds	1171.93	37.3	-	-	2016	Scaffold
Hanseniaspora osmophila	Fungi	Ascomycetes	11.4584	36.7	4657	4657	2016	Scaffold
Hanseniaspora opuntiae	Fungi	Ascomycetes	8.83196	34.7	4167	4167	2016	Scaffold
Salpa thompsoni	Animals	Other Animals	318.748	34.2	-	-	2016	Scaffold
Penicillium sclerotiorum	Fungi	Ascomycetes	34.0251	48.6	-	-	2016	Scaffold
Paraphoma sp. B47-9	Fungi	Ascomycetes	38.5484	52.4	-	-	2016	Contig
Chaetomium cochliodes	Fungi	Ascomycetes	34.7458	56	-	-	2016	Scaffold
Trichosporon faecale	Fungi	Basidiomycetes	24.6539	60.2	-	-	2016	Scaffold
Trichosporon coremiiforme	Fungi	Basidiomycetes	42.3533	59.6	-	-	2016	Scaffold
Trichosporon inkin	Fungi	Basidiomycetes	20.3395	62.7	-	-	2016	Scaffold
Trichosporon ovoides	Fungi	Basidiomycetes	40.3229	60.2	-	-	2016	Scaffold
Zaprionus indianus	Animals	Insects	123.675	40.5	-	-	2016	Scaffold
Brettanomyces naardenensis	Fungi	Ascomycetes	11.2831	44.5	5168	5179	2019	Scaffold
Penicillium arizonense	Fungi	Ascomycetes	33.7291	49.1	12200	12200	2016	Scaffold
Aspergillus bombycis	Fungi	Ascomycetes	37.4746	48.8	12263	12263	2016	Contig
Polyporus brumalis	Fungi	Basidiomycetes	53.4346	57	-	-	2016	Contig
Embelia ribes	Plants	Land Plants	660.51	33.4	-	-	2016	Scaffold
Ipomoea nil	Plants	Land Plants	735.2310000000001	37.6024	46335	51054	2016	Scaffold
Ramazzottius varieornatus	Animals	Other Animals	55.8428	47.1952	23163	23007	2016	Scaffold
Juglans sigillata	Plants	Land Plants	648.117	34.5	-	-	2018	Scaffold
Corchorus capsularis	Plants	Land Plants	317.178	35.2	30716	29356	2017	Scaffold
Corchorus olitorius	Plants	Land Plants	334.912	35.5	37131	35704	2017	Contig
Paramoeba pemaquidensis	Protists	Other Protists	34.387	-	-	-	2017	Scaffold
Phytomonas francai	Protists	Kinetoplasts	17.722	47.7	-	-	2016	Scaffold
Citrus unshiu	Plants	Land Plants	359.652	31.3	29039	37970	2017	Scaffold
Colletotrichum orchidophilum	Fungi	Ascomycetes	48.5565	51.1	14453	14453	2016	Scaffold
Cryptosporidium andersoni	Protists	Apicomplexans	9.08856	28.5	3897	3876	2016	Scaffold
Phytophthora x alni	Protists	Other Protists	236.0	51.3	-	-	2013	Scaffold
Tritrichomonas foetus	Protists	Other Protists	67.5857	30.1	25336	25030	2016	Scaffold
Cryptosporidium ubiquitum	Protists	Apicomplexans	8.97021	30.8	3766	3766	2016	Scaffold
Endoconidiophora polonica	Fungi	Ascomycetes	32.4562	45.4	-	-	2016	Scaffold
Venturia inaequalis	Fungi	Ascomycetes	72.7916	43.1	-	-	2018	Contig
Basidiobolus heterosporus B8920	Fungi	Other Fungi	44.0538	39.7	-	-	2014	Contig
Ustilago bromivora	Fungi	Basidiomycetes	20.625	52.2675	7408	7227	2016	Complete Genome
Tympanuchus cupido pinnatus	Animals	Birds	983.777	-	-	-	2016	Scaffold
Kappaphycus alvarezii	Other	Other	336.721	45.3	-	-	2017	Contig
Amphiamblys sp. WSBS2006	Fungi	Other Fungi	5.62015	50.2	3695	3642	2016	Scaffold
Coniochaeta ligniaria NRRL 30616	Fungi	Ascomycetes	42.3828	51.7	13920	13658	2016	Scaffold
Calonectria pseudoreteaudii	Fungi	Ascomycetes	63.6925	48.3	-	-	2016	Scaffold
Epicoccum sorghinum	Fungi	Ascomycetes	33.4202	52.1	-	-	2016	Contig
Moneuplotes crassus	Protists	Other Protists	58.5666	36.9	-	-	2016	Contig
Euplotes focardii	Protists	Other Protists	80.4079	37.7	-	-	2016	Contig
Rhizopogon vesiculosus	Fungi	Basidiomycetes	43.7809	46.3	14191	14197	2016	Scaffold
Blastomyces percursus	Fungi	Ascomycetes	32.6653	47.4	-	-	2018	Scaffold
Diplodia corticola	Fungi	Ascomycetes	34.9861	57.1	10839	10839	2016	Scaffold
Plasmodium brasilianum	Protists	Apicomplexans	30.0899	24.8893	-	-	2016	Scaffold
Armadillidium vulgare	Animals	Other Animals	1725.11	28	19051	19051	2019	Scaffold
Sclerospora graminicola	Protists	Other Protists	253.717	-	-	-	2017	Scaffold
Clunio marinus	Animals	Insects	85.4914	31.4	21712	22620	2016	Scaffold
Stramenopiles sp. TOSAG23-2	Protists	Other Protists	32.8372	32.5	-	-	2016	Scaffold
Stramenopiles sp. TOSAG23-6	Protists	Other Protists	21.1214	34	-	-	2016	Scaffold
